,course_name,course_rating,earn_skills,course_link,institution,metadata
222,Preparing for Google Cloud Certification: Machine Learning Engineer,4.8,"Skills you'll gain: Machine Learning, Google Cloud Platform, Applied Machine Learning, Human Learning, Cloud Computing, Machine Learning Software, Cloud Platforms, Machine Learning Algorithms, Deep Learning, Tensorflow, Feature Engineering, Artificial Neural Networks, Training, DevOps, Exploratory Data Analysis, Python Programming, Cloud-Based Integration, Data Analysis, Data Visualization, Probability & Statistics, Statistical Programming, Big Data, Regression, Statistical Visualization, SQL, Algorithms, Continuous Integration, Cloud API, Apache, Extract, Transform, Load, Docker (Software)",Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,Intermediate Professional Certificate 3 - 6 Months
223,Google Project Management,4.8,"Skills you'll gain: Leadership and Management, Planning, Communication, Strategy, Strategy and Operations, Business Analysis, Business Development, Business Psychology, Collaboration, Decision Making, Design and Product, Data Analysis, Entrepreneurship, Business Communication, Conflict Management, Emotional Intelligence, People Management, Resilience, People Analysis, Critical Thinking, Network Security, Data Analysis Software, Adaptability, Organizational Development, Project Management, Culture",Google Project Management,Google,Beginner Professional Certificate 3 - 6 Months
224,Management of Fashion and Luxury Companies,4.8,"Skills you'll gain: Brand Management, Leadership and Management, Marketing, Retail Sales, Strategy, Communication, Customer Analysis, Market Analysis, Media Strategy & Planning, Product Development, Product Management",Management of Fashion and Luxury Companies,Università Bocconi,Mixed Course 1 - 3 Months
225,Mathematics for Machine Learning,4.8,"Skills you'll gain: Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Algorithms, Differential Equations, Applied Mathematics, Problem Solving, Statistical Analysis, Data Visualization, Dimensionality Reduction, Computer Programming Tools, Regression",Mathematics for Machine Learning,Imperial College London,Beginner Specialization 3 - 6 Months
226,Achieving Personal and Professional Success,4.8,"Skills you'll gain: Communication, Human Learning, Professional Development, Critical Thinking, Leadership Development, Leadership and Management, People Analysis, Decision Making, Emotional Intelligence, People Development, Adaptability, Negotiation, Influencing, Innovation",Achieving Personal and Professional Success,University of Pennsylvania,Beginner Specialization 3 - 6 Months
227,Accelerated Computer Science Fundamentals,4.8,"Skills you'll gain: Computer Programming, C Programming Language Family, Data Structures, Algorithms, C++ Programming, Theoretical Computer Science, Programming Principles, Computational Thinking, Problem Solving, Computer Programming Tools, Critical Thinking, Computational Logic, Graph Theory",Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,Intermediate Specialization 1 - 3 Months
228,Private Equity and Venture Capital,4.8,"Skills you'll gain: Business Analysis, Entrepreneurial Finance, Finance, Financial Management, Investment Management, Mergers & Acquisitions, Entrepreneurship, Decision Making, Leadership and Management, Strategy",Private Equity and Venture Capital,Università Bocconi,Mixed Course 1 - 3 Months
229,Organizational Analysis,4.8,"Skills you'll gain: Leadership and Management, Organizational Development, Strategy, Strategy and Operations, Decision Making, Business Psychology, Change Management, Culture, Business Analysis, Business Process Management",Organizational Analysis,Stanford University,Beginner Course 1 - 3 Months
230,Leading People and Teams,4.8,"Skills you'll gain: Human Resources, Leadership and Management, People Development, Strategy and Operations, Leadership Development, Talent Management, Business Psychology, People Analysis, Communication, People Management, Strategy, Human Learning, Human Resources Operations, Business Communication, Collaboration, Influencing, Performance Management, Problem Solving, Conflict Management, Business Analysis, Marketing, Recruitment",Leading People and Teams,University of Michigan,Beginner Specialization 3 - 6 Months
231,From Likes to Leads: Interact with Customers Online,4.8,"Skills you'll gain: Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Social Media, Advertising, Data Analysis, Strategy",From Likes to Leads: Interact with Customers Online,Google,Beginner Course 1 - 3 Months
232,Introduction to Social Media Marketing,4.8,"Skills you'll gain: Communication, Marketing, Digital Marketing, Social Media, Media Strategy & Planning, Advertising, Entrepreneurship, Marketing Management",Introduction to Social Media Marketing,Meta,Beginner Course 1 - 3 Months
233,Modern and Contemporary Art and Design,4.8,"Skills you'll gain: Design and Product, Critical Thinking, Creativity",Modern and Contemporary Art and Design,The Museum of Modern Art,Beginner Specialization 3 - 6 Months
234,Methods and Statistics in Social Sciences,4.8,"Skills you'll gain: Probability & Statistics, Statistical Tests, General Statistics, Correlation And Dependence, Statistical Programming, Basic Descriptive Statistics, Statistical Analysis, Research and Design, Data Analysis, Regression, Adaptability, Computational Thinking, Critical Thinking, People Analysis, Theoretical Computer Science, Writing, Probability Distribution, Problem Solving, R Programming, Experiment, Mathematical Theory & Analysis, Computer Programming",Methods and Statistics in Social Sciences,University of Amsterdam,Beginner Specialization 3 - 6 Months
235,Fundamentals of Quantitative Modeling,4.8,"Skills you'll gain: Business Analysis, Data Model, Finance, Forecasting, General Statistics, Mathematical Theory & Analysis, Probability & Statistics, Regression, Statistical Analysis, Basic Descriptive Statistics",Fundamentals of Quantitative Modeling,University of Pennsylvania,Mixed Course 1 - 4 Weeks
236,System Administration and IT Infrastructure Services,4.8,"Skills you'll gain: Cloud Computing, Leadership and Management",System Administration and IT Infrastructure Services,Google,Beginner Course 1 - 3 Months
237,Risk Management,4.8,"Skills you'll gain: Leadership and Management, Risk Management, Finance, Probability & Statistics, Strategy, Financial Analysis, Strategy and Operations, Operations Management, Statistical Tests, Business Analysis, Business Process Management, Operational Analysis, Market Analysis, Financial Management, Statistical Analysis, Critical Thinking, Banking, General Statistics, Operating Systems, Decision Making, Probability Distribution, Market Research",Risk Management,New York Institute of Finance,Beginner Specialization 3 - 6 Months
238,Fintech: Foundations & Applications of Financial Technology,4.8,"Skills you'll gain: FinTech, Finance, BlockChain, Innovation, Investment Management, Financial Management, Financial Analysis, Risk Management, General Statistics, Payments, Algorithms, Behavioral Economics, Entrepreneurial Finance, Market Research, Cryptography, Customer Analysis, Human Learning, Machine Learning Algorithms, Machine Learning Software, Securities Trading, System Security, Applied Machine Learning, Machine Learning, Product Strategy, Business Transformation, Systems Design",Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,Beginner Specialization 3 - 6 Months
239,Cybersécurité Google,4.8,"Skills you'll gain: Linux, SQL",Cybersécurité Google,Google,Beginner Professional Certificate 3 - 6 Months
240,Machine Learning on Google Cloud,4.5,"Skills you'll gain: Machine Learning, Applied Machine Learning, Google Cloud Platform, Human Learning, Machine Learning Software, Cloud Computing, Machine Learning Algorithms, Deep Learning, Cloud Platforms, Artificial Neural Networks, Feature Engineering, Exploratory Data Analysis, Tensorflow, Python Programming, Data Analysis, Data Visualization, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, SQL, Cloud API, Apache, Extract, Transform, Load",Machine Learning on Google Cloud,Google Cloud,Intermediate Specialization 3 - 6 Months
241,Foundations of Data Science,4.5,"Skills you'll gain: Communication, Data Analysis, Planning, Project Management",Foundations of Data Science,Google,Advanced Course 1 - 3 Months
242,Capstone: Applying Project Management in the Real World,4.5,"Skills you'll gain: Communication, Leadership and Management, Planning, Problem Solving, Project Management",Capstone: Applying Project Management in the Real World,Google,Beginner Course 1 - 4 Weeks
243,Project Management & Other Tools for Career Development,4.5,"Skills you'll gain: Project Management, Communication, Collaboration, Decision Making, Leadership and Management, Strategy and Operations, Business Communication, People Management, Problem Solving, Business Analysis, Conflict Management, Critical Thinking, Professional Development, Customer Relationship Management, Business Development, Negotiation, Planning, Writing, Adaptability, Deep Learning, Business Research, Strategy, Risk Management, Scrum (Software Development), Statistical Analysis, User Experience",Project Management & Other Tools for Career Development,"University of California, Irvine",Beginner Specialization 3 - 6 Months
244,(ISC)² Systems Security Certified Practitioner (SSCP),4.5,"Skills you'll gain: Security Engineering, System Security, Network Security, Software Security, Computer Security Incident Management, Leadership and Management, Security Software, Risk Management, Strategy and Operations, Algorithms, Cloud Computing, Cryptography, Cyberattacks, Operations Management, Human Factors (Security), Software-Defined Networking, Cloud Applications, Strategy, Communication, Financial Accounting",(ISC)² Systems Security Certified Practitioner (SSCP),ISC2,Beginner Specialization 3 - 6 Months
245,IBM Mainframe Developer,4.5,"Skills you'll gain: Computer Programming, Other Programming Languages, Software Engineering, Theoretical Computer Science, Computer Architecture",IBM Mainframe Developer,IBM,Intermediate Professional Certificate 3 - 6 Months
246,Clinical Trials Operations,4.5,"Skills you'll gain: Leadership and Management, Data Management, Clinical Data Management, Operations Management, Communication, Data Analysis, Recruitment, Statistical Analysis",Clinical Trials Operations,Johns Hopkins University,Beginner Specialization 3 - 6 Months
247,Project Management,4.5,"Skills you'll gain: Leadership and Management, Project Management, Planning, Strategy and Operations, Product Management, Agile Software Development, People Management, Strategy, Scrum (Software Development), Performance Management, Risk Management, Business Process Management, Business Communication, Decision Making, Organizational Development, Product Development, Data Analysis, Estimation, Budget Management",Project Management,University of Colorado Boulder,Beginner Specialization 1 - 3 Months
248,Data Analysis with R Programming,4.5,"Skills you'll gain: R Programming, Data Analysis, Computer Programming, Data Visualization, SQL",Data Analysis with R Programming,Google,Beginner Course 1 - 3 Months
249,Career Success,4.5,"Skills you'll gain: Leadership and Management, Professional Development, Strategy and Operations, Business Communication, Adaptability, Business Analysis, Communication, Decision Making, Project Management, People Management, Critical Thinking, Collaboration, Customer Relationship Management, Strategy, Planning, Business Development, Operational Analysis, Problem Solving, Accounting, Change Management, Conflict Management, Financial Accounting, Leadership Development, Organizational Development, Entrepreneurship, Business Research, Cost Accounting, Deep Learning, Finance, Financial Management, Generally Accepted Accounting Principles (GAAP), Negotiation, Financial Analysis, Writing, Entrepreneurial Finance, Statistical Analysis, Marketing, Scrum (Software Development), User Experience, Estimation",Career Success,"University of California, Irvine",Beginner Specialization 3 - 6 Months
250,Intellectual Property Law,4.5,"Skills you'll gain: Critical Thinking, Strategy, Innovation, Brand Management, Leadership and Management, Marketing, Strategy and Operations, Design and Product",Intellectual Property Law,University of Pennsylvania,Intermediate Specialization 3 - 6 Months
251,Google Data Analytics (PT),4.5,"Skills you'll gain: Data Analysis, Data Visualization, Exploratory Data Analysis, Process Analysis, Databases, Data Management, Extract, Transform, Load, Statistical Programming, SQL, Business Analysis, Spreadsheet Software, Operational Analysis, Data Analysis Software, Microsoft Excel, Visualization (Computer Graphics), Communication, Critical Thinking, Interactive Data Visualization, Programming Principles, Statistical Visualization, Collaboration, Plot (Graphics), R Programming, Strategy, Tableau Software, Storytelling, Strategy and Operations, Business Communication, Correlation And Dependence, Graph Theory, People Analysis, Project Management, Data Structures, Leadership and Management, System Security",Google Data Analytics (PT),Google,Beginner Professional Certificate 3 - 6 Months
252,U.S. Federal Taxation,4.8,"Skills you'll gain: Taxes, Accounting, Financial Accounting, Finance, Critical Thinking, General Accounting, Regulations and Compliance, Financial Analysis, Corporate Accouting, Generally Accepted Accounting Principles (GAAP), Problem Solving, Benefits",U.S. Federal Taxation,University of Illinois at Urbana-Champaign,Intermediate Specialization 3 - 6 Months
253,Machine Learning with Python,4.8,"Skills you'll gain: Machine Learning, Algorithms, Data Analysis, Human Learning, Python Programming, Regression",Machine Learning with Python,IBM,Intermediate Course 1 - 3 Months
254,Introduction to Cloud Computing,4.8,"Skills you'll gain: Cloud Computing, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud",Introduction to Cloud Computing,IBM,Beginner Course 1 - 3 Months
255,Databases and SQL for Data Science with Python,4.8,"Skills you'll gain: Python Programming, Business Analysis, Computer Programming, Data Analysis, Data Management, Data Structures, Database Application, Databases, SQL, Cloud Computing, IBM Cloud",Databases and SQL for Data Science with Python,IBM,Beginner Course 1 - 3 Months
256,Applied Data Science with Python,4.8,"Skills you'll gain: Python Programming, Data Analysis, Computer Programming, Machine Learning, Algorithms, Applied Machine Learning, Data Mining, Machine Learning Algorithms, Exploratory Data Analysis, Statistical Programming, Data Management, Extract, Transform, Load, Natural Language Processing, Statistical Machine Learning, Data Structures, Graph Theory, Network Analysis, Computer Programming Tools, Human Learning, Data Visualization, Network Model, Regression, Computer Networking, General Statistics, Network Architecture, Plot (Graphics), Visualization (Computer Graphics), Computer Graphics",Applied Data Science with Python,University of Michigan,Intermediate Specialization 3 - 6 Months
257,Agile Development,4.8,"Skills you'll gain: Agile Software Development, Design and Product, Leadership and Management, Product Management, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, Research and Design, Data Analysis, Business Analysis, Communication, Continuous Delivery",Agile Development,University of Virginia,Beginner Specialization 3 - 6 Months
258,Creative Writing,4.8,"Skills you'll gain: Creativity, Human Learning, Storytelling, Writing",Creative Writing,Wesleyan University,Beginner Specialization 3 - 6 Months
259,Introduction to Healthcare,4.8,,Introduction to Healthcare,Stanford University,Beginner Course 1 - 3 Months
260,Scrum Master Certification,4.8,"Skills you'll gain: Agile Software Development, Scrum (Software Development), Project Management, Software Engineering, Continuous Delivery, Product Development, Continuous Integration, Leadership and Management, Product Management, Collaboration, Software Testing, Strategy, Application Development, DevOps, Product Lifecycle, Strategy and Operations, Planning, Process Analysis, Software Engineering Tools, System Software, Risk Management",Scrum Master Certification,LearnQuest,Beginner Specialization 3 - 6 Months
261,Project Management Principles and Practices,4.8,"Skills you'll gain: Project Management, Strategy and Operations, Leadership and Management, Collaboration, Communication, Conflict Management, Risk Management, Estimation, Planning",Project Management Principles and Practices,"University of California, Irvine",Beginner Specialization 3 - 6 Months
262,Software Product Management,4.8,"Skills you'll gain: Software Engineering, Agile Software Development, Product Management, Design and Product, Leadership and Management, Project Management, Planning, Application Development, Product Design, Entrepreneurship, Strategy and Operations, Business Analysis, Collaboration, User Experience, Scrum (Software Development), Supply Chain and Logistics",Software Product Management,University of Alberta,Beginner Specialization 3 - 6 Months
263,Introduction to Machine Learning in Production,4.8,"Skills you'll gain: Machine Learning, Applied Machine Learning, Leadership and Management",Introduction to Machine Learning in Production,DeepLearning.AI,Advanced Course 1 - 4 Weeks
264,Generative AI: Introduction and Applications,4.6,Skills you'll gain: Natural Language Processing,Generative AI: Introduction and Applications,IBM,Beginner Course 1 - 4 Weeks
265,AI for Medicine,4.6,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Deep Learning, Python Programming, Artificial Neural Networks, Statistical Programming, Probability & Statistics, Natural Language Processing",AI for Medicine,DeepLearning.AI,Intermediate Specialization 1 - 3 Months
266,Foundations of Business Intelligence,4.6,"Skills you'll gain: Business Intelligence, Data Analysis, Leadership and Management",Foundations of Business Intelligence,Google,Advanced Course 1 - 4 Weeks
267,Work Smarter with Microsoft Word,4.6,"Skills you'll gain: Collaboration, Communication, Computer Graphics, Microsoft Excel, Visual Design, Research and Design, Writing, Leadership and Management, Software Engineering Tools, Spreadsheet Software",Work Smarter with Microsoft Word,Microsoft,Beginner Course 1 - 3 Months
268,AI Fundamentals for Non-Data Scientists,4.6,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Artificial Neural Networks, Data Analysis, Deep Learning, Human Learning, Big Data",AI Fundamentals for Non-Data Scientists,University of Pennsylvania,Mixed Course 1 - 4 Weeks
269,"Product Ideation, Design, and Management",4.6,"Skills you'll gain: Leadership and Management, Strategy and Operations, Product Management, Design and Product, Entrepreneurship, Product Development, Strategy, Product Design, Marketing, Product Strategy, Research and Design, Market Research, Market Analysis, Product Marketing, Finance, Sales, Investment Management, Planning, Project Management, Financial Analysis, Financial Management, Business Psychology, Budget Management, Customer Analysis, Entrepreneurial Finance, Software Engineering Tools, People Development, Innovation","Product Ideation, Design, and Management","University of Maryland, College Park",Beginner Specialization 3 - 6 Months
270,Share Data Through the Art of Visualization,4.6,"Skills you'll gain: Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software",Share Data Through the Art of Visualization,Google,Beginner Course 1 - 4 Weeks
271,Sound the Alarm: Detection and Response,4.6,"Skills you'll gain: Linux, Network Security, Computer Security Incident Management, Leadership and Management",Sound the Alarm: Detection and Response,Google,Beginner Course 1 - 4 Weeks
272,Data Visualization with Tableau,4.6,"Skills you'll gain: Data Visualization, Data Analysis, Data Analysis Software, Data Visualization Software, Tableau Software, Business Analysis, Business Intelligence, Statistical Visualization, Exploratory Data Analysis, Interactive Data Visualization, Interactive Design, Software Visualization, Storytelling, Visual Design, Visualization (Computer Graphics), Plot (Graphics), Computer Graphics",Data Visualization with Tableau,"University of California, Davis",Beginner Specialization 3 - 6 Months
273,GPT Vision: Seeing the World through Generative AI,4.6,,GPT Vision: Seeing the World through Generative AI,Vanderbilt University,Beginner Course 1 - 4 Weeks
274,Medical Terminology,4.6,Skills you'll gain: Human Learning,Medical Terminology,Rice University,Beginner Specialization 3 - 6 Months
275,Build Wireframes and Low-Fidelity Prototypes,4.6,"Skills you'll gain: Product Design, User Experience, User Research",Build Wireframes and Low-Fidelity Prototypes,Google,Beginner Course 1 - 4 Weeks
276,AI for Good,4.8,"Skills you'll gain: Artificial Neural Networks, Computer Vision, Exploratory Data Analysis, Machine Learning, Natural Language Processing, Python Programming",AI for Good,DeepLearning.AI,Beginner Specialization 1 - 3 Months
277,"Influencing: Storytelling, Change Management and Governance",4.8,"Skills you'll gain: Leadership and Management, Communication, Business Psychology, Conflict Management, Strategy and Operations, Change Management, Influencing, Organizational Development, Risk Management, Marketing, Negotiation, Sales, Critical Thinking, Decision Making, Entrepreneurship, Human Resources, Probability & Statistics, Business Communication, Employee Relations, Business Process Management, Data Analysis, People Analysis, Storytelling","Influencing: Storytelling, Change Management and Governance",Macquarie University,Beginner Specialization 3 - 6 Months
278,Convolutional Neural Networks,4.8,"Skills you'll gain: Artificial Neural Networks, Computer Vision, Machine Learning, Applied Machine Learning, Deep Learning, Machine Learning Software, Machine Learning Algorithms, Network Model, Tensorflow, Network Architecture, Human Learning",Convolutional Neural Networks,DeepLearning.AI,Intermediate Course 1 - 4 Weeks
279,Sequence Models,4.8,"Skills you'll gain: Artificial Neural Networks, Deep Learning, Machine Learning, Natural Language Processing, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Algorithms, Computer Programming, Human Learning",Sequence Models,DeepLearning.AI,Intermediate Course 1 - 4 Weeks
280,Preparing Data for Analysis with Microsoft Excel,4.8,"Skills you'll gain: Data Analysis, Microsoft Excel, Power BI",Preparing Data for Analysis with Microsoft Excel,Microsoft,Beginner Course 1 - 4 Weeks
281,Machine Learning for Trading,4.8,"Skills you'll gain: Financial Analysis, Machine Learning, Finance, Investment Management, Algorithms, Financial Management, Leadership and Management, Market Analysis, Risk Management, Strategy, Applied Machine Learning, Artificial Neural Networks, Deep Learning, Google Cloud Platform, Human Learning, Training, Cloud Computing, Reinforcement Learning, Python Programming",Machine Learning for Trading,Google Cloud,Intermediate Specialization 1 - 3 Months
282,MATLAB Programming for Engineers and Scientists,4.8,"Skills you'll gain: Computer Programming, Other Programming Languages, Matlab, Data Analysis, Algorithms, Theoretical Computer Science, Data Visualization, Mathematics, Plot (Graphics), Visualization (Computer Graphics), Computer Graphics, Statistical Machine Learning, Data Analysis Software, Problem Solving, Programming Principles",MATLAB Programming for Engineers and Scientists,Vanderbilt University,Beginner Specialization 3 - 6 Months
283,Google Professional Workspace Administrator,4.8,"Skills you'll gain: Leadership and Management, Account Management, Google Cloud Platform, Cloud Management, System Security, Cloud Applications, Cloud Platforms, Security Engineering, Operations Management, Software Security, Network Security, Cloud Computing, Data Management, Security Strategy, Cloud Infrastructure, Organizational Development, Other Cloud Platforms and Tools, Change Management, Cloud-Based Integration, Database Administration, Collaboration, Strategy and Operations, Computer Security Incident Management, Planning, Strategy, Security Software, Project Management, Accounting",Google Professional Workspace Administrator,Google Cloud,Beginner Professional Certificate 1 - 3 Months
284,"Brand Management: Aligning Business, Brand and Behaviour",4.8,"Skills you'll gain: Brand Management, Leadership and Management, Marketing","Brand Management: Aligning Business, Brand and Behaviour",University of London,Beginner Course 1 - 3 Months
285,Structuring Machine Learning Projects,4.8,"Skills you'll gain: Applied Machine Learning, Data Analysis, Data Model, Deep Learning, Machine Learning, Machine Learning Algorithms, Organizational Development, Process Analysis, Strategy, Artificial Neural Networks, Computer Vision, Human Learning",Structuring Machine Learning Projects,DeepLearning.AI,Beginner Course 1 - 4 Weeks
286,Coding for Everyone: C and C++,4.8,"Skills you'll gain: C Programming Language Family, Computer Programming, Programming Principles, Algorithms, Data Structures, C++ Programming, Computational Logic, Computer Programming Tools, Computational Thinking, Critical Thinking, Mathematics, Problem Solving, Graph Theory, Theoretical Computer Science, Software Engineering",Coding for Everyone: C and C++,"University of California, Santa Cruz",Beginner Specialization 3 - 6 Months
287,Étudier en France: French Intermediate course B1-B2,4.8,"Skills you'll gain: Communication, Culture, Writing",Étudier en France: French Intermediate course B1-B2,École Polytechnique,Intermediate Course 1 - 3 Months
288,"TESOL Certificate, Part 2: Teach English Now!",4.9,"Skills you'll gain: Writing, Human Learning, Planning","TESOL Certificate, Part 2: Teach English Now!",Arizona State University,Beginner Specialization 3 - 6 Months
289,Microsoft Azure Data Scientist Associate (DP-100),4.9,"Skills you'll gain: Machine Learning, Microsoft Azure, Applied Machine Learning, Machine Learning Software, Machine Learning Algorithms, Cloud Computing, Python Programming, Human Learning, Algorithms, Big Data, Cloud Applications, Data Analysis, Regression, Extract, Transform, Load, Training, Exploratory Data Analysis, Cloud Platforms, Data Management, Deep Learning, Experiment",Microsoft Azure Data Scientist Associate (DP-100),Microsoft,Intermediate Professional Certificate 3 - 6 Months
290,Drug Development Product Management,4.9,"Skills you'll gain: Strategy, Marketing",Drug Development Product Management,University of California San Diego,Beginner Specialization 3 - 6 Months
291,Java Programming and Software Engineering Fundamentals,4.9,"Skills you'll gain: Computer Programming, Java Programming, Programming Principles, Algorithms, Problem Solving, Data Structures, Software Engineering, Computer Programming Tools, Critical Thinking, Computational Thinking, Data Analysis, Javascript, Software Testing, Front-End Web Development, HTML and CSS, Web Design, Web Development, Web Development Tools, Computer Graphic Techniques, Software Architecture, Data Model, Cryptography, Theoretical Computer Science, Statistical Programming",Java Programming and Software Engineering Fundamentals,Duke University,Beginner Specialization 3 - 6 Months
292,Data Analysis with Python,4.9,"Skills you'll gain: Python Programming, Data Analysis, Machine Learning, Computer Programming, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",Data Analysis with Python,IBM,Beginner Course 1 - 3 Months
293,Google UX Design,4.9,"Skills you'll gain: Business Analysis, Business Development, Business Psychology, Communication, Decision Making, Design and Product, Entrepreneurship, Leadership and Management, Planning, Strategy, Strategy and Operations, Business Design, Critical Thinking, Data Analysis, People Management, Resilience, C++ Programming, B2B Sales, People Analysis, Adaptability, User Experience Design",Google UX Design,Google,Beginner Professional Certificate 3 - 6 Months
294,Six Sigma Yellow Belt,4.9,"Skills you'll gain: Process Analysis, Strategy and Operations, Leadership and Management, Data Analysis, Business Analysis, Business Process Management, Performance Management, Probability & Statistics, Operational Analysis, Organizational Development, Problem Solving, Project Management, General Statistics, Planning, Statistical Tests, Critical Thinking, Operations Management, Statistical Visualization, Correlation And Dependence, Customer Relationship Management, Collaboration, Entrepreneurship, Facility Management, People Development, Risk Management, Business Psychology, Communication",Six Sigma Yellow Belt,University System of Georgia,Beginner Specialization 3 - 6 Months
295,Google Data Analytics,4.9,"Skills you'll gain: Decision Making, Data Analysis, Leadership and Management, Strategy, Strategy and Operations, Business Analysis, Design and Product, Planning, Communication, Business Psychology, Entrepreneurship, Business Development, Business Communication, Critical Thinking, Problem Solving, Exploratory Data Analysis, Process Analysis, Data Visualization, Operational Analysis, Visualization (Computer Graphics), Interactive Data Visualization, Spreadsheet Software, SQL",Google Data Analytics,Google,Beginner Professional Certificate 3 - 6 Months
296,Google Cloud Digital Leader Training,4.9,"Skills you'll gain: Cloud Infrastructure, Google Cloud Platform, Cloud Computing, Data Architecture, Cloud Platforms, DevOps, Google App Engine, Innovation, Leadership and Management, Machine Learning",Google Cloud Digital Leader Training,Google Cloud,Beginner Professional Certificate 3 - 6 Months
297,Advanced Data Science with IBM,4.9,"Skills you'll gain: Machine Learning, Python Programming, Statistical Programming, Data Management, Machine Learning Algorithms, Deep Learning, Process Analysis, Apache, Data Analysis, Human Learning, Machine Learning Software, Applied Machine Learning, Extract, Transform, Load, Artificial Neural Networks, Feature Engineering, Data Architecture, Probability & Statistics, Cloud Computing, Statistical Machine Learning, General Statistics, Data Visualization, IBM Cloud, SQL, Statistical Visualization, Computer Programming, Tensorflow",Advanced Data Science with IBM,IBM,Advanced Specialization 3 - 6 Months
298,Data Analysis with R,4.9,"Skills you'll gain: General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Statistical Tests, Probability Distribution, R Programming, Statistical Programming, Basic Descriptive Statistics, Statistical Visualization, Bayesian Statistics, Exploratory Data Analysis, Plot (Graphics), Problem Solving, Critical Thinking, Correlation And Dependence, Regression, Bayesian Network, Computer Programming",Data Analysis with R,Duke University,Beginner Specialization 3 - 6 Months
299,Cybersecurity for Everyone,4.9,"Skills you'll gain: Cyberattacks, Human Computer Interaction, Network Security, Security Engineering, Security Strategy, Computer Security Models, Leadership and Management, Risk Management, Software Security, Computer Networking",Cybersecurity for Everyone,"University of Maryland, College Park",Beginner Course 1 - 3 Months
300,IT Security: Defense against the digital dark arts,4.8,"Skills you'll gain: Cryptography, Network Security, System Security",IT Security: Defense against the digital dark arts,Google,Beginner Course 1 - 3 Months
301,Automate Cybersecurity Tasks with Python,4.8,"Skills you'll gain: Python Programming, Algorithms, Computer Programming",Automate Cybersecurity Tasks with Python,Google,Beginner Course 1 - 4 Weeks
302,Google Data Analytics Capstone: Complete a Case Study,4.8,"Skills you'll gain: Business Analysis, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, R Programming, SQL, Spreadsheet Software, Statistical Programming, Tableau Software",Google Data Analytics Capstone: Complete a Case Study,Google,Beginner Course 1 - 4 Weeks
303,Get Started with Python,4.8,"Skills you'll gain: Computer Programming, Data Analysis, Data Visualization, Python Programming",Get Started with Python,Google,Advanced Course 1 - 3 Months
304,Natural Language Processing with Classification and Vector Spaces,4.8,"Skills you'll gain: Machine Learning, Natural Language Processing, Probability & Statistics, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, General Statistics, Human Learning, Statistical Machine Learning",Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,Intermediate Course 1 - 4 Weeks
305,Python Project for Data Science,4.8,"Skills you'll gain: Python Programming, Computer Programming, Data Analysis, Data Science",Python Project for Data Science,IBM,Intermediate Course 1 - 4 Weeks
306,Instructional Design Foundations and Applications,4.8,,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,Mixed Course 1 - 3 Months
307,Introduction to Cybersecurity Tools & Cyber Attacks,4.8,"Skills you'll gain: Cryptography, Security Software, Cyberattacks, Leadership and Management",Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner Course 1 - 4 Weeks
308,Understanding the Brain: The Neurobiology of Everyday Life,4.8,,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,Beginner Course 1 - 3 Months
309,Principles of Management,4.8,"Skills you'll gain: Leadership and Management, Planning, Strategy, Critical Thinking, Operations Management, People Management, Strategy and Operations, Business Communication, Business Intelligence, Collaboration, Project Management",Principles of Management,Johns Hopkins University,Mixed Course 1 - 4 Weeks
310,Primeros Auxilios Psicológicos (PAP),4.8,,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,Mixed Course 1 - 3 Months
311,Pricing Strategy Optimization,4.8,"Skills you'll gain: Marketing, Strategy, Strategy and Operations, Customer Analysis, Sales, Product Strategy, Business Analysis, Leadership and Management, Market Analysis, Product Marketing, Design and Product, Product Management, Entrepreneurship, Market Research, Accounting, Game Theory, B2B Sales, Cost Accounting, Product Lifecycle, Business Psychology, Retail Sales",Pricing Strategy Optimization,University of Virginia,Beginner Specialization 3 - 6 Months
