job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
Ofsaa Technical Consultant,Oracle,4,3280 Reviews,4-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Pune, Chennai, Bangalore/Bengaluru",Our Team . . OFS consulting team is a team which Implements OFSAA (Oracle Financial Ser...,"Ofsaa
technical
consulting",13 Days Ago,
Technical Support Executive,Quickxpert Infotech,3.2,34 Reviews,0-5 Yrs,Not disclosed,"Mumbai (All Areas), Pune, Bangalore/Bengaluru",Our client is looking for technical support executives. intersted candidates can apply ...,"technical support
IT Helpdesk
Desktop Support
IT Service Desk
desk
support customers
software support
process",4 Days Ago,
Pyspark Developer,Hexaware Technologies,3.7,3371 Reviews,6-11 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Navi Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Worked with large datasets in T-SQL batch processing Data Warehouse / Data Marts / Data...,"Big Data
pyspark
Azure Databricks
data
etl
development
sql
microsoft azure",6 Days Ago,
Data Governance Lead,Hexaware Technologies,3.7,3371 Reviews,5-9 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Noida, Navi Mumbai, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru","Data steward Roles and ResponsibilitiesMDM (Workflow, Governance, Quality, Metrics Revi...","steward
data governance
data
governance",6 Days Ago,
Technical Lead - .Net - Infogain - Currently WFH,Infogain,3.7,644 Reviews,8-13 Yrs,Not disclosed,"Mumbai (All Areas), Noida, Pune, Bangalore/Bengaluru","8+ years experience with building production-level software systems, with expertise in ...","C#
.Net Core
Entity Framework
WCF
technical
entity
.net
technical leadership",6 Days Ago,
Sr. SQL Developer,Intelliswift,4,158 Reviews,5-10 Yrs,6.5-12 Lacs PA,"Temp. WFH - Mumbai (All Areas), Pune, Bangalore/Bengaluru",Must Have Skills : .,"SSRS
SQL
performance tuning
procedures
stored procedures
sr
performance
sql development",6 Days Ago,
Business Finance Manager,Cognizant,3.9,31515 Reviews,4-9 Yrs,6-16 Lacs PA,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","Experience in Costing, Budgeting and ForecastingGood understanding of Contract Manageme...","business finance
revenue
fpa
trend
contracts
costing
management
budgeting",Women candidates preferred,
Principal Architect,DHL,4.2,994 Reviews,10-20 Yrs,40-55 Lacs PA,"Hybrid - Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",10 years experience in Teradata Performance tuning and workload management 6 years expe...,"technical architecture
performance tuning
teradata architecture
workload management
Stakeholder Management
management
technical
teradata",2 Days Ago,
Terraform Developer,Tata Consultancy Services (TCS),3.9,53133 Reviews,4-9 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Bangalore/Bengaluru","Roles and Responsibilities . Terraform, Azure skills required, 4+ with at least 2 years...","terraform
azure devops
linux
development
docker
jenkins
devops
microsoft azure",3 Days Ago,
Senior GIS Consultant,Tata Consultancy Services (TCS),3.9,53133 Reviews,7-12 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Bangalore/Bengaluru","Required Technical Skill Set - .GIS, ESRI, Python, SQL or VBA Good knowledge of using M...","gis
python
ESRI
SQL
gi
rdbms
consulting
senior",3 Days Ago,
.Net Lead,Tata Consultancy Services (TCS),3.9,53133 Reviews,9-14 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Bangalore/Bengaluru",". Masters or Minor in Computer Science Required Technical Skill Set - .NET Core, ASP.NE...",".net core
Asp.Net Core
Azure Web App
web apps
asp.net
core
javascript
application",3 Days Ago,
Sap GTS Consultant,Tata Consultancy Services (TCS),3.9,53133 Reviews,3-7 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Bangalore/Bengaluru",Must-Have Roles and Responsibilities - Provide functional/configuration knowledge in de...,"Sap Global Trade Services
SAP GTS
trade
global trade
global
sap
gts
consulting",3 Days Ago,
SAP UI5 and FIori Consultant - Wipro Locations - India,Wipro,3.9,24792 Reviews,7-12 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Bangalore/Bengaluru",Candidate should have 5+ yrs experience working in SAP UI5 & Fiori and hands on in Fior...,"SAP UI5
RAP and BOPF
Fiori
bpf
sap fiori
cd
sap
consulting",1 Day Ago,
Data Engineer,Cognizant,3.9,31515 Reviews,10-16 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Pune, Chennai, Bangalore/Bengaluru, Hyderabad","Desired Candidate Profile -Good at Python, Pyspark, SQL, Spark-SQL-Able to understand D...","Pyspark
python
Azure
data engineering
sql
bricks
data
engineering",6 Days Ago,
HCL Hiring || SAP- Plant Maintenance || PAN India,HCLTech,3.8,19966 Reviews,7-12 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Pune, Bangalore/Bengaluru",Min 8 to 12 and above years of Experience Detail about domain experience 1. Domain expe...,"plant maintenance
plant
predictive maintenance
maintenance
breakdown maintenance
predictive
sap
hiring",5 Days Ago,
Oracle Database Administrator,Oracle,4,3280 Reviews,9-14 Yrs,Not disclosed,"Hybrid - Navi Mumbai, Pune, Chennai, Bangalore/Bengaluru","A Bachelors degree in Computer Science, Engineering or equivalent experience is preferr...","dataguard
rac
oracle dba
Oracle 12c
golden gate
patching
exadata database administration
administration",Just Now,
Presales Relationship Manager,NoBroker,3.5,996 Reviews,1-3 Yrs,2.75-5 Lacs PA,"Mumbai (All Areas), Pune, Bangalore/Bengaluru",Should maintain 6 hours of productivity on a daily basis without fail Qualification: . ...,"presales
management
sales
relationship
real estate
estate
relationship management
real estate sales",1 Day Ago,
CRM Architect- D365,Birlasoft,3.8,1597 Reviews,12-18 Yrs,20-32.5 Lacs PA,"Hybrid - Mumbai (All Areas), Noida, Pune, Chennai, Bangalore/Bengaluru","Overall 12+ years experience in implementing MS CRM applications, must have experience ...","D365
MS Dynamics CRM
power platform
CRM Application
Powerapps
microsoft dynamics ax
dynamics
application",1 Day Ago,
Data Analyst,Infogain,3.7,644 Reviews,4-7 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Must have good knowledge of statistics and be able to write SQL queries to validate dat...,"sql queries
Power Bi
GCP
data
etl
query
data analysis
etl tool",1 Day Ago,
Urgent Hiring || Data Analyst,Infogain,3.7,644 Reviews,4-8 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Noida, Pune, Bangalore/Bengaluru",Certifications would be a definite plus to supplement work experience in GCP technologi...,"Power Bi
GCP
SQL
data analysis
data
hiring
bi",2 Days Ago,
EMS Consultant,Capgemini,3.9,21667 Reviews,4-6 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",Provide relevant input for management review activities as required by ISO 14001 and IS...,"Legal compliance
ISO
External audit
Project management
Monitoring
legal
process audit
management",7 Days Ago,
Senior Software Engineer,Baker Hughes,4.2,327 Reviews,5-7 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",To be successful in this role you will: . -Have a minimum bachelor s degree in Engineer...,"software
senior
rdbms
backend
nosql
mongodb
asset management
cassandra",7 Days Ago,
Spark Scala Developer,Cognizant,3.9,31515 Reviews,6-11 Yrs,Not disclosed,"Mumbai (All Areas), Kolkata, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Primary Skill : Spark, Scala. . Strong hands on experience on Spark / Scala. Good Under...","scala
Spark
aws
development
hadoop
oozie
hdfs
hive",7 Days Ago,
Sap Co Functional Consultant-KPMG,KPMG India,3.8,4148 Reviews,4-9 Yrs,15-27.5 Lacs PA,"Mumbai (All Areas), Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Excellent communication, documentation and presentation skills in English and good know...","Product Costing
Sap Copa
SAP Controlling
Copa
profit
cost center accounting
costing
control",7 Days Ago,
District Support Staff,HCLTech,3.8,19966 Reviews,0-3 Yrs,Not disclosed,"Mumbai (All Areas), Kolhapur, Udaipur, Agartala, Pune, Bangalore Rural, Chennai, Jammu, Jodhpur",Location- Agartala / Jammu/Bangalore / Chennai/Jodhpur / Udaipur/Pune / Mumbai/Kolhapur...,"Educational Sales
field sales
student counseling
admissions
admission counselling
education counseling
education
lead generation",9 Days Ago,
Python Developer Lead,Hexaware Technologies,3.7,3371 Reviews,8-13 Yrs,Not disclosed,"Mumbai (All Areas), Pune, Chennai, Bangalore/Bengaluru",Good problem solving and influencing skills. Expert python technical architect (8+ year...,"Django
Python
development
api
leadership
json
review code
rest",3 Days Ago,
Sales Account Manager_B2B_Field Sales _Freshers Female candidates only,Airtel,4.1,9633 Reviews,0-2 Yrs,1-3.5 Lacs PA,"Mumbai (All Areas), Vijayawada, Chandigarh, Visakhapatnam, Indore, Pune, Ahmedabad, Bangalore/Bengaluru, Raipur",Any Graduate Should be comfortable with Field SalesMimimum 1 year B2B sales experience ...,"B2B Sales
corporate
direct marketing
direct selling
sales account
sales
corporate sales
selling",Women candidates preferred,
Senior Data Engineer,Flatworld Solutions (FWS),3.5,294 Reviews,7-10 Yrs,10-15 Lacs PA,"Temp. WFH - Mumbai (All Areas), Kolkata, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",You will also be required to provide 3rd line support to the Operations teams and provi...,"Java
python
sql server
sql
elt
etl
bi
procedures",Women candidates preferred,
Oracle Plsql Developer,Oracle,4,3280 Reviews,4-9 Yrs,Not disclosed,"Mumbai (All Areas), Pune, Chennai, Bangalore/Bengaluru",Experience in end-to-end Development and / or Implementation and / or Support activitie...,"Integrations
Plsql Development
Triggers
Functions
Oracle Reports
core
development
software development cycle",Women candidates preferred,
SAP ABAP SRM- any Port location,Tech Mahindra,3.8,20425 Reviews,4-9 Yrs,10-20 Lacs PA,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",SRM-SUS and MM-SUS is mandatory. . Nice to have Registration of supplier experience. . ...,"sap
srm
port
sap srm
abap
sap abap
saps",9 Days Ago,
Java Solution Architect,CGI,4.2,2062 Reviews,10-15 Yrs,Not disclosed,"Hybrid - Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Experience of working with Agile methodology environment is preferred Experiences: Requ...,"Java
Java Architecture
microservices
rfp
j2ee
rfi
architecture
kafka",Women candidates preferred,
Data Analyst,Quickxpert Infotech,3.2,34 Reviews,0-5 Yrs,Not disclosed,"Mumbai (All Areas), Kolkata, Indore, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",We have immediate openings for Data Analyst Trainees for our clients. Interested candid...,"SQL
c
training
analysis
python
data
tableau
excel",1 Day Ago,
Training Specialist,BCD Travel,4,233 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Understand the audience and apply a variety of learning methodologies and concepts for ...,"focus
amadeus
training
travel
office
training delivery
design
travel management",3 Days Ago,
Software Developer-Java Microservices AWS,Photon,4.2,768 Reviews,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Experience with any RDBMS -Oracle, SQL Server or Nosql -MonggoDB etc must be comfortabl...","acceptance testing
nosql
application development
design
user acceptance testing
system testing
management
user acceptance",3 Days Ago,
Scrum Master,Replicon,4,76 Reviews,5-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Excellent knowledge of Scrum techniques and artifacts (such as definition of done, user...","management
pmp
computer science
automation
conflict
conflict resolution
agile
fedex",3 Days Ago,
Senior Statistical Programmer,Cytel Statistical Software &amp, Services Pvt. Ltd.,4,36 Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Qualifications and Experience: . Bachelors or Masterss degree in Computer Science, Stat...",,3 Days Ago
Sales Relationship Manager - Senior Associate - Paytm Money,Paytm,3.6,4059 Reviews,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",". Should possess exceptional written & verbal communication skills, . . . . . . Should ...","management
b2b sales
edc
analytical
technology management
sales
relationship
analytics",20 Days Ago,
Principal Consultant-ERP Fusion Risk Management Cloud Services (RMCS),Oracle,4,3280 Reviews,8-13 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Kolkata, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Oracle Global Services Center (GSC) is helping leading organizations around the world i...,"RMC
GRC
Fusion
risk management
finance
management
access
cloud services",Women candidates preferred,
Analyst (GSR) - Codification,Ford,4.5,2465 Reviews,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Prototype BOM and Material control Analyst to coordinate with CFT (Engineering, Purchas...","management
control
materials
material control
erp
program management
purchase
prototype",27 Days Ago,
Reg Reporting BA,Capco,3.8,256 Reviews,8-13 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Roles and Responsibilities Capco is looking for strong Business Analysts in India. The ...,"Regulatory Reporting
Credit Risk
business analysis
SQL
analysis
reporting
basel iii
risk",9 Days Ago,
Automation Business Analyst,Capco,3.8,256 Reviews,9-14 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR","Comfortable working in cross-skilled delivery teams (working collaboratively with UX, D...","UiPath Business Analyst
Business Process Automation
RPA Business Analyst
Process Re-engineering
Automation Business Analyst
rpa
process automation
estimation",9 Days Ago,
Cognizant Hiring ||Medical Scribe ||Pan India,Cognizant,3.9,31515 Reviews,1-6 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, India",Email ID: Current Location: Preferred Job Location: Current Company: Primary Skill Sets...,"medical scribe
pan
medical
hiring
summarizing
medical summarization
transcription
medical transcription",10 Days Ago,
SAP Integration Lead,Ford,4.5,2465 Reviews,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Raise issue / risk appropriately and reach for help as required during entire implement...,"sap
team leading
automation
team
leadership
sap integration
software testing
integration",13 Days Ago,
Probationary Officers' Programme,Icici Bank,4,35611 Reviews,0-5 Yrs,4.25-4.5 Lacs PA,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru","Term II - 2 months . . Start your Internship at ICICI Bank Branch, where you will get t...","Graduate
management
corporate sales
relationship
relationship management
bfsi sales
sales
banking sales",17 Days Ago,
Abinitio Developer,Cognizant,3.9,31515 Reviews,4-9 Yrs,7-17 Lacs PA,"Kochi/Cochin, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru",Translate business requirement into low level design Proficient in metaprogramming and ...,"ab initio
initio
development
ab",2 Days Ago,
Salesforce Developers/Tech Leads/Architects | Virtual Drive | 25-March,Wipro,3.9,24792 Reviews,5-10 Yrs,Not disclosed,"Hybrid - Kochi/Cochin, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Jaipur, Bangalore/Bengaluru, Delhi / NCR","Must possess salesforce certification like AppBuilder, PDNice to have PDShould have kno...","Lightning
Salesforce
marketing
integration
cloud
drives
sfdc
saas sales",1 Day Ago,
Technical Business Analyst,Tech Mahindra,3.8,20425 Reviews,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","key Skills Required: SQL, Power Bi, experience in Telecom Domain, hive Immediate joiner...","hive
Power Bi
sql
technical
bi
technical analysis",1 Day Ago,
Azure Data Engineer - Night Shift,Tech Mahindra,3.8,20425 Reviews,4-8 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Role: Data Engineer (4-8 year relevant exp)Primary skills: Advance SQL/DWH, PL/SQL. Str...","Azure Data Factory
Advanced Sql Queries
Azure Databricks
Data Warehousing
query
plsql
sql
azure stack",1 Day Ago,
Data Engineer,Globallogic,3.9,2432 Reviews,8-12 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Note - Immediate joiners required max 30 days No prior experience in the energy industr...,"Python
data
pyspark
data engineering
hadoop",1 Day Ago,
